Id,Modified_Time,Owner,Company,First_Name,Last_Name,Full_Name,Designation,Email,Phone,Fax,Mobile,Website,Lead_Source,Lead_Status,Industry,No_of_Employees,Annual_Revenue,Rating,Campaign_Source,Email_Opt_Out,Skype_ID,Created_By,Modified_By,Created_Time,Salutation,Secondary_Email,Currency,Exchange_Rate,Last_Activity_Time,Twitter,Layout,Tag,Street,City,State,Zip_Code,Country,Description,Score,Positive_Score,Negative_Score,Touch_Point_Score,Positive_Touch_Point_Score,Negative_Touch_Point_Score,Record_Image,LAST_ACTION,LAST_SENT_TIME,LAST_ACTION_TIME,User_Modified_Time,System_Related_Activity_Time,User_Related_Activity_Time,System_Modified_Time,Converted_Date_Time,Record_Approval_Status,Is_Record_Duplicate,Lead_Conversion_Time,Unsubscribed_Mode,Unsubscribed_Time,Converted_Account,Converted_Contact,Converted_Deal,Territories,Change_Log_Time__s,Converted__s,_converted,Business_Type,Lost_Reason,Lead_Verified,All_Activities_Closed,Father_s_Name,Nick_Name,Locked__s,Mobile_Number,Pin_Code_Shipping_Order,Feedback,Sales_Order_Number,Customer_Name,Item_Name,Issue,Customer_Interested,Check_in_Date,Last_Enriched_Time__s,Enrich_Status__s,Buffaloes_Required,Expected_Milk_Yield,Price_Range,Byat,Kitne_Din_ki_Byahi,Kad_Kathi,District,Village_City,Close_Date,Pregnancy_Status,Calf_Gender,Test,Current_Status,Expected_Timeline,Phone_number
333282000001236017,2022-12-01 10:23:30+00:00,333282000000667001,,,miglani,miglani,,,,,123456789.0,,,Junk Lead,,,,,,False,,333282000000667001,333282000000667001,2022-09-12 08:57:21+00:00,,,INR,1.0,2023-03-12 02:32:40+00:00,,333282000001144006,,,,,,INDIA,,0,0,0,0,0,0,,,,,2022-12-01 10:23:30+00:00,2023-03-12 02:32:40+00:00,2022-09-20 12:56:07+00:00,,,1,False,,,,,,,,,False,False,,,Not Verified,False,,,False,,,,,,,,Decided to Buy,,,,12.0,,,,,,,,,Flexible,Flexible,Option 1,Requirement Gathering,,
333282000004097023,2023-01-30 06:28:35+00:00,333282000000667001,,+919350812668,Ji,+919350812668 Ji,,,919311211496.0,,,,,,,,,,,False,,333282000000667001,333282000000667001,2023-01-26 12:37:58+00:00,,,INR,1.0,2023-03-26 02:32:44+00:00,,333282000000000167,,,,,,,,0,0,0,0,0,0,,,,,2023-01-30 06:28:35+00:00,2023-03-26 02:32:44+00:00,,,,1,False,,,,,,,,,False,False,,,,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
333282000000632001,2023-01-12 15:06:12+00:00,333282000000225001,,new,user,new user,,,918010223995.0,,,,,,,,,,,False,,333282000000225001,333282000000667001,2022-07-10 10:47:54+00:00,,,INR,1.0,2023-03-10 02:32:52+00:00,,333282000000000167,,,,,,INDIA,,0,0,0,0,0,0,,,,,2023-01-12 10:54:19+00:00,2023-03-10 02:32:52+00:00,2022-07-10 10:47:54+00:00,2023-01-12 15:06:12+00:00,,1,False,,,,,,,,,False,False,,,,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
333282000000634001,2023-01-12 15:06:13+00:00,333282000000225001,,tttttt,user,tttttt user,,,919582732146.0,,,,,,,,,,,False,,333282000000225001,333282000000667001,2022-07-10 10:47:55+00:00,,,INR,1.0,2023-03-10 02:32:52+00:00,,333282000000000167,,,,,,INDIA,,0,0,0,0,0,0,,,,,2023-01-12 10:55:49+00:00,2023-03-10 02:32:52+00:00,2022-07-10 10:47:55+00:00,2023-01-12 15:06:13+00:00,,1,False,,,,,,,,,False,False,,,,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
333282000002497002,2023-01-12 15:06:16+00:00,333282000000667001,srk,,srk,srk,,,911234567123.0,,,,,,,,,,,False,,333282000000667001,333282000000667001,2022-11-04 07:03:51+00:00,,,INR,1.0,2023-03-04 02:32:37+00:00,,333282000000000167,,,,,,INDIA,,0,0,0,0,0,0,,,,,2022-12-01 10:23:30+00:00,2023-03-04 02:32:37+00:00,,2023-01-12 15:06:16+00:00,,1,False,,,,,,,,,False,False,,,Not Verified,False,srk,srk,False,,,,,,,,,,,Available,,,,,,,,,,,,,,,1234567890.0
333282000002497018,2023-01-12 15:06:18+00:00,333282000000667001,jdhkjsadaffa,,asff,asff,,,919234567890.0,,,,,,,,,,,False,,333282000000667001,333282000000667001,2022-11-04 07:07:10+00:00,,,INR,1.0,2023-03-04 02:32:37+00:00,,333282000000000167,,,,,,INDIA,,0,0,0,0,0,0,,,,,2022-12-01 10:23:30+00:00,2023-03-04 02:32:37+00:00,,2023-01-12 15:06:18+00:00,,1,False,,,,,,,,,False,False,,,Not Verified,False,fadf,afsd,False,,,,,,,,,,,,,,,,,,,,,,,,,,5348736473.0
333282000002497049,2022-12-01 10:23:30+00:00,333282000000667001,,,SRK,SRK,,,,,2.132132132132132e+29,,,Contact in Future,,,,,,False,,333282000000667001,333282000000667001,2022-11-04 08:06:21+00:00,,,INR,1.0,2023-03-04 02:32:37+00:00,,333282000001144006,,,,,,INDIA,,0,0,0,0,0,0,,,,,2022-12-01 10:23:30+00:00,2023-03-04 02:32:37+00:00,,,,1,False,,,,,,,,,False,False,,,Not Verified,False,,,False,,,,,,,,Decided to Buy,,,,1.0,,,,,,,,,Flexible,Flexible,,Requirement Gathering,,
333282000002497062,2023-01-12 15:06:19+00:00,333282000000667001,srk,,SRK,SRK,,,919650861399.0,,,,,,,,,,,False,,333282000000667001,333282000000667001,2022-11-04 08:07:47+00:00,,,INR,1.0,2023-03-04 02:32:37+00:00,,333282000000000167,,,,,,INDIA,,0,0,0,0,0,0,,,,,2023-01-12 10:56:12+00:00,2023-03-04 02:32:37+00:00,,2023-01-12 15:06:19+00:00,,1,False,,,,,,,,,False,False,,,Not Verified,False,SRK,SRK,False,,,,,,,,,,,,,,,,,,,,,,,,,,1234567788.0
333282000002497100,2023-01-12 10:56:29+00:00,333282000000667001,srk,,srk,srk,,,7.0828950898818e+19,,,,,,,,,,,False,,333282000000667001,333282000000667001,2022-11-04 08:39:22+00:00,,,INR,1.0,2023-03-04 02:32:37+00:00,,333282000000000167,,,,,,INDIA,,0,0,0,0,0,0,,,,,2023-01-12 10:56:29+00:00,2023-03-04 02:32:37+00:00,,,,1,False,,,,,,,,,False,False,,,Not Verified,False,srk,srk,False,,,,,,,,,,,Available,,,,,,,,,,,,,,,
333282000002497114,2023-01-12 15:06:20+00:00,333282000000667001,srk,,srk,srk,,,918307028420.0,,,,,,,,,,,False,,333282000000667001,333282000000667001,2022-11-04 08:40:24+00:00,,,INR,1.0,2023-03-04 02:32:37+00:00,,333282000000000167,,,,,,INDIA,,0,0,0,0,0,0,,,,,2022-12-01 10:23:30+00:00,2023-03-04 02:32:37+00:00,,2023-01-12 15:06:20+00:00,,1,False,,,,,,,,,False,False,,,Not Verified,False,srk,srk,False,,,,,,,,,,,Available,,,,,,,,,,,,,,,
