Id,Modified_Time,Owner,Lead_Source,First_Name,Last_Name,Full_Name,Account_Name,Vendor_Name,Email,Campaign_Source,Title,Department,Phone,Home_Phone,Other_Phone,Fax,Mobile,Date_of_Birth,Assistant,Asst_Phone,Email_Opt_Out,Skype_ID,Created_By,Modified_By,Created_Time,Salutation,Secondary_Email,Currency,Exchange_Rate,Last_Activity_Time,Twitter,Layout,Lead_Score,Tag,Mailing_Street,Other_Street,Mailing_City,Other_City,Mailing_State,Other_State,Mailing_Zip,Other_Zip,Mailing_Country,Other_Country,Description,Score,Positive_Score,Negative_Score,Touch_Point_Score,Positive_Touch_Point_Score,Negative_Touch_Point_Score,Record_Image,LAST_ACTION,LAST_SENT_TIME,LAST_ACTION_TIME,Reporting_To,User_Modified_Time,System_Related_Activity_Time,User_Related_Activity_Time,System_Modified_Time,Record_Approval_Status,Is_Record_Duplicate,Unsubscribed_Mode,Unsubscribed_Time,Territories,Change_Log_Time__s,Business_Type,Lost_Reason,Lead_Verified,Active_Inactive_Customer,Locked__s,Check_in_date,Last_Enriched_Time__s,Enrich_Status__s,Unique_id,Phone_number
333282000001256004,2023-01-25 09:19:56+00:00,333282000000667001,ZohoDesk,,Deepak miglani,Deepak miglani,,,Deepak.miglani@merapashu360.com,,,,8307028428,,,,,,,,False,,333282000000225001,333282000000667001,2022-09-12 11:34:33+00:00,,,INR,1.0,2023-01-25 09:19:56+00:00,,333282000000000171,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,2023-01-25 09:19:56+00:00,,,,1,False,,,,,,,,,False,,,,MP36028,
333282000002639003,2022-11-10 05:54:32+00:00,333282000000225001,ZohoDesk,Sandeep,ji,Sandeep ji,,,,,,,9376550076,,,,9376550076.0,,,,False,,333282000000225001,333282000000225001,2022-11-10 05:54:32+00:00,,,INR,1.0,,,333282000000000171,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,1,False,,,,,,,,,False,,,,MP36043,
333282000002660001,2022-11-10 05:56:23+00:00,333282000000225001,ZohoDesk,,Sandeep ji,Sandeep ji,,,,,,,9376550076,,,,,,,,False,,333282000000225001,333282000000225001,2022-11-10 05:56:23+00:00,,,INR,1.0,,,333282000000000171,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,1,False,,,,,,,,,False,,,,MP36044,
333282000003295009,2022-12-26 12:05:29+00:00,333282000000225001,,,Verma Ji ki Dairy,Verma Ji ki Dairy,,,,,,,,,,,,,,,False,,333282000000225001,333282000000225001,2022-12-26 12:05:29+00:00,,,INR,1.0,2022-12-26 12:05:36+00:00,,333282000000000171,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,2022-12-26 12:05:36+00:00,,,1,False,,,,,,,,,False,,,,MP36046,
333282000003302024,2022-12-26 12:05:52+00:00,333282000000225001,,,Mr. Demo User,Mr. Demo User,,,,,,,,,,,,,,,False,,333282000000225001,333282000000225001,2022-12-26 12:05:52+00:00,,,INR,1.0,2022-12-26 12:05:59+00:00,,333282000000000171,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,2022-12-26 12:05:59+00:00,,,1,False,,,,,,,,,False,,,,MP36049,
333282000003305007,2022-12-26 12:05:37+00:00,333282000000225001,,,Mr. Demo User,Mr. Demo User,,,,,,,,,,,,,,,False,,333282000000225001,333282000000225001,2022-12-26 12:05:37+00:00,,,INR,1.0,2022-12-26 12:05:44+00:00,,333282000000000171,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,2022-12-26 12:05:44+00:00,,,1,False,,,,,,,,,False,,,,MP36047,
333282000003320007,2022-12-26 12:06:00+00:00,333282000000225001,,,Kamal Kumar,Kamal Kumar,,,,,,,,,,,,,,,False,,333282000000225001,333282000000225001,2022-12-26 12:06:00+00:00,,,INR,1.0,2022-12-26 12:06:07+00:00,,333282000000000171,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,2022-12-26 12:06:07+00:00,,,1,False,,,,,,,,,False,,,,MP36050,
333282000003326003,2022-12-26 12:05:45+00:00,333282000000225001,,,Mr. Demo User,Mr. Demo User,,,,,,,,,,,,,,,False,,333282000000225001,333282000000225001,2022-12-26 12:05:45+00:00,,,INR,1.0,2022-12-26 12:05:52+00:00,,333282000000000171,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,2022-12-26 12:05:52+00:00,,,1,False,,,,,,,,,False,,,,MP36048,
333282000003345005,2022-12-27 11:20:08+00:00,333282000000225001,,,SRK,SRK,,,,,,,,,,,,,,,False,,333282000000225001,333282000000225001,2022-12-27 11:20:08+00:00,,,INR,1.0,2022-12-27 11:20:15+00:00,,333282000000000171,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,2022-12-27 11:20:15+00:00,,,1,False,,,,,,,,,False,,,,MP36063,
333282000003353015,2022-12-27 11:17:28+00:00,333282000000225001,,,SRK,SRK,,,,,,,,,,,,,,,False,,333282000000225001,333282000000225001,2022-12-27 11:16:47+00:00,,,INR,1.0,2022-12-27 11:17:35+00:00,,333282000000000171,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,2022-12-27 11:17:35+00:00,,2022-12-27 11:17:28+00:00,1,False,,,,,,,,,False,,,,MP36062,
